,DWG 추가,P&ID 변경,Line 추가,사업주 요청사항,Design 변경,Spec 변경,Plot Plan 변경,Line 변경,Location 변경,기타변경,Valve 추가,Valve 변경,Spec 추가
356,0.000340566199465157,0.1207212023819883,0.001865219768676358,2.828735533839365e-07,0.0008679867430314174,0.0012522881479517772,0.0009014749391768523,0.18952574640662317,0.00031678124658500955,0.001575103274543212,1.753216967965514e-06,0.3688527238218798,0.31377887097955787
357,0.019441069258809243,0.10206561360874845,0.15552855407047386,0.16038882138517618,0.09842041312272179,0.015795868772782495,0.03402187120291617,0.053462940461725415,0.012150668286755775,0.012150668286755775,0.03402187120291617,0.04860267314702311,0.25394896719319565
358,1.7540737589646038e-06,0.21802853336118094,1.609723320125803e-06,2.0725504485103996e-10,5.665339575670424e-07,0.0011783944393877906,0.00021105033999980067,0.06853180191299668,0.00020103241856680472,1.5624096854815887e-05,6.943493597211376e-09,0.5113313318534155,0.20049829409581252
359,6.707908796772153e-05,0.3769112641880978,0.00036738008979947303,5.571574631006309e-08,0.00017096164910686436,0.0495776496341449,0.017933317519211518,0.07428968307006495,0.006301826520355547,0.0003102377490110846,3.4531963361411796e-07,0.18108407941188134,0.2929861200449788
360,6.707908796772153e-05,0.3769112641880978,0.00036738008979947303,5.571574631006309e-08,0.00017096164910686436,0.0495776496341449,0.017933317519211518,0.07428968307006495,0.006301826520355547,0.0003102377490110846,3.4531963361411796e-07,0.18108407941188134,0.2929861200449788
361,0.9932503338298895,0.0022114279154367123,1.231906347685274e-06,0.0008249915927402154,0.0002679849904626142,0.0003718525045462642,0.00039075217938608017,0.00018584679554548963,5.101475342900397e-06,1.2714434463901744e-05,5.675028553865268e-06,0.0015869125826399452,0.000885174764644602
362,0.04826852293032123,0.06403521155681964,0.0050231134922414655,0.5530253421718452,0.007164481899663873,0.008247467748577654,0.008795407643105753,0.014290431685725991,0.0028571106190596325,4.465872392277851e-05,0.12486321657572937,0.07479503832293177,0.08858999663005579
363,0.789891107396596,0.029972830941449896,8.595202799469519e-07,6.752893087279988e-07,4.17257624767864e-06,0.008347147391281784,2.160694619334308e-05,2.114542764443976e-05,2.5914227150104823e-05,9.995335986069781e-09,4.454906345608753e-06,0.05275713650947562,0.11895293887269023
364,2.24961793553277e-05,0.0005616420560378947,6.434973168822027e-07,0.8693726199682922,2.025229778907981e-08,1.146094757081534e-05,3.69975957544257e-09,5.648192580196887e-07,0.0004859423217908487,1.4721376866412491e-09,0.00010504864880261473,1.610863696980613e-05,0.12942344750041043
365,4.082556177056862e-11,3.2651028563059346e-11,3.278838144034612e-14,0.9999855210395038,5.902429372184637e-16,1.718430711144754e-11,1.3599606362713083e-15,1.3013122946740639e-05,6.529651064915447e-12,9.90948291682594e-15,2.8110050941952525e-13,1.695934231718832e-09,1.4640440975536015e-06
